ano,regiao,uf,nome_municipio,localizacao,depend_administrativa,percent_fundamental_nivel1,percent_fundamental_nivel2,percent_fundamental_nivel3,percent_fundamental_nivel4,percent_fundamental_nivel5,percent_fundamental_nivel6,percent_medio_nivel1,percent_medio_nivel2,percent_medio_nivel3,percent_medio_nivel4,percent_medio_nivel5,percent_medio_nivel6
2021,Norte,RO,Alto Paraíso,Rural,Publica,24.0,30.0,24.0,12.0,8.0,2.0,,,,,,
2021,Norte,RO,Buritis,Urbana,Estadual,0.0,0.0,23.5,50.6,18.5,7.4,0.0,2.0,11.0,63.0,17.0,7.0
2021,Norte,RO,Buritis,Urbana,Municipal,67.7,15.3,15.3,0.0,1.7,0.0,,,,,,
2021,Norte,RO,Buritis,Rural,Municipal,80.0,20.0,0.0,0.0,0.0,0.0,,,,,,
2021,Norte,RO,Buritis,Urbana,Privada,12.5,0.0,62.5,25.0,0.0,0.0,,,,,,
2021,Norte,RO,Buritis,Urbana,Publica,28.8,6.5,20.1,29.5,10.8,4.3,0.0,2.0,11.0,63.0,17.0,7.0
2021,Norte,RO,Buritis,Rural,Publica,80.0,20.0,0.0,0.0,0.0,0.0,,,,,,
2021,Norte,RO,Novo Horizonte do Oeste,Urbana,Estadual,0.0,2.6,15.8,52.6,21.1,7.9,0.0,0.0,1.7,69.0,24.1,5.2
2021,Norte,RO,Novo Horizonte do Oeste,Urbana,Municipal,79.4,0.0,6.9,10.3,0.0,3.4,,,,,,
2021,Norte,RO,Novo Horizonte do Oeste,Rural,Privada,,,,,,,0.0,21.5,64.3,7.1,7.1,0.0
2021,Norte,RO,Novo Horizonte do Oeste,Urbana,Publica,34.4,1.5,11.9,34.3,11.9,6.0,0.0,0.0,1.7,69.0,24.1,5.2
2021,Norte,RO,Cacaulândia,Urbana,Estadual,0.0,0.0,25.0,41.7,33.3,0.0,11.9,0.0,2.4,61.9,16.7,7.1
2021,Norte,RO,Cacaulândia,Urbana,Municipal,61.5,15.4,15.4,7.7,0.0,0.0,,,,,,
2021,Norte,RO,Cacaulândia,Rural,Municipal,28.7,7.1,35.7,21.4,0.0,7.1,,,,,,
2021,Norte,RO,Cacaulândia,Urbana,Publica,32.0,8.0,20.0,24.0,16.0,0.0,11.9,0.0,2.4,61.9,16.7,7.1
2021,Norte,RO,Cacaulândia,Rural,Publica,28.7,7.1,35.7,21.4,0.0,7.1,,,,,,
